iter	Passed	Remaining
477	5570	6083
478	5579	6068
479	5589	6054
480	5597	6039
481	5607	6026
482	5619	6014
483	5627	6000
484	5639	5987
485	5647	5973
486	5656	5958
487	5666	5944
488	5676	5931
489	5687	5919
490	5699	5907
491	5708	5893
492	5720	5883
493	5731	5870
494	5740	5856
495	5752	5845
496	5760	5830
497	5772	5818
498	5784	5807
499	5792	5792
500	5801	5778
501	5809	5763
502	5822	5752
503	5832	5740
504	5840	5724
505	5850	5711
506	5858	5696
507	5868	5683
508	5878	5670
509	5888	5657
510	5914	5660
511	5922	5645
512	5934	5633
513	5943	5619
514	5952	5605
515	5965	5595
516	5973	5580
517	5983	5567
518	5994	5555
519	6004	5542
520	6015	5530
521	6024	5516
522	6037	5506
523	6049	5494
524	6058	5481
525	6068	5468
526	6080	5457
527	6093	5447
528	6102	5433
529	6112	5420
530	6120	5405
531	6130	5392
532	6138	5378
533	6149	5366
534	6161	5354
535	6169	5340
536	6179	5328
537	6188	5314
538	6197	5300
539	6207	5288
540	6218	5275
541	6234	5267
542	6246	5257
543	6257	5245
544	6265	5231
545	6278	5220
546	6293	5211
547	6301	5197
548	6311	5184
549	6320	5171
550	6330	5158
551	6342	5147
552	6350	5133
553	6364	5123
554	6374	5111
555	6383	5097
556	6393	5084
557	6401	5070
558	6411	5057
559	6423	5047
560	6432	5033
561	6441	5020
562	6450	5006
563	6459	4993
564	6470	4981
565	6478	4967
566	6491	4957
567	6500	4944
568	6513	4933
569	6526	4923
570	6539	4913
571	6552	4902
572	6561	4889
573	6571	4876
574	6579	4863
575	6590	4851
576	6600	4838
577	6608	4825
578	6622	4815
579	6631	4802
580	6640	4788
581	6651	4777
582	6659	4763
583	6670	4751
584	6678	4737
585	6687	4724
586	6698	4712
587	6706	4699
588	6716	4686
589	6725	4673
590	6735	4661
591	6747	4650
592	6759	4639
593	6773	4629
594	6786	4619
595	6801	4610
596	6817	4602
597	6833	4593
598	6849	4585
599	6862	4574
600	6874	4563
601	6886	4553
602	6903	4545
603	6919	4536
604	6935	4527
605	6951	4519
606	6968	4511
607	6984	4503
608	6997	4492
609	7005	4479
610	7019	4468
611	7029	4456
612	7037	4442
613	7045	4429
614	7054	4416
615	7063	4403
616	7072	4390
617	7081	4377
618	7091	4364
619	7100	4352
620	7113	4341
621	7123	4329
622	7132	4316
623	7143	4304
624	7151	4291
625	7161	4278
626	7169	4265
627	7179	4252
628	7187	4239
629	7196	4226
630	7205	4213
631	7214	4200
632	7225	4189
633	7234	4176
634	7249	4166
635	7259	4154
636	7268	4141
637	7278	4129
638	7289	4118
639	7300	4106
640	7311	4094
641	7321	4082
642	7331	4070
643	7341	4058
644	7350	4045
645	7361	4033
646	7371	4021
647	7379	4008
648	7392	3997
649	7405	3987
650	7414	3974
651	7425	3963
652	7433	3950
653	7442	3937
654	7454	3926
655	7462	3913
656	7472	3900
657	7480	3887
658	7491	3876
659	7501	3864
660	7510	3851
661	7522	3840
662	7536	3830
663	7547	3819
664	7560	3808
665	7573	3798
666	7584	3786
667	7592	3773
668	7605	3762
669	7616	3751
670	7625	3738
671	7635	3726
672	7644	3714
673	7653	3702
674	7662	3689
675	7671	3676
676	7683	3665
677	7691	3652
678	7702	3641
679	7711	3628
680	7720	3616
681	7730	3604
682	7739	3591
683	7748	3579
684	7756	3566
685	7767	3555
686	7775	3542
687	7787	3531
688	7798	3519
689	7807	3507
690	7819	3496
691	7827	3483
692	7836	3471
693	7847	3460
694	7856	3447
695	7869	3437
696	7881	3426
697	7891	3414
698	7900	3402
699	7909	3389
700	7919	3378
701	7930	3366
702	7942	3355
703	7953	3344
704	7965	3332
705	7975	3321
706	7985	3309
707	7998	3298
708	8010	3287
709	8020	3275
710	8032	3265
711	8046	3254
712	8059	3243
713	8069	3232
714	8082	3221
715	8096	3211
716	8108	3200
717	8117	3188
718	8129	3177
719	8139	3165
720	8149	3153
721	8162	3143
722	8176	3132
723	8185	3120
724	8198	3109
725	8210	3098
726	8221	3087
727	8230	3075
728	8242	3064
729	8250	3051
730	8264	3041
731	8277	3030
732	8288	3019
733	8298	3007
734	8309	2995
735	8322	2985
736	8330	2972
737	8342	2961
738	8351	2949
739	8361	2937
740	8373	2926
741	8382	2914
742	8395	2904
743	8410	2894
744	8423	2883
745	8437	2872
746	8446	2860
747	8459	2850
748	8474	2839
749	8487	2829
750	8499	2818
751	8511	2806
752	8524	2796
753	8540	2786
754	8555	2776
755	8572	2766
756	8586	2756
757	8599	2745
758	8609	2733
759	8621	2722
760	8632	2711
761	8643	2699
762	8658	2689
763	8672	2679
764	8686	2668
765	8698	2657
766	8709	2645
767	8722	2634
768	8733	2623
769	8743	2611
770	8756	2600
771	8770	2590
772	8787	2580
773	8800	2569
774	8813	2558
775	8829	2548
776	8839	2537
777	8850	2525
778	8860	2513
779	8870	2501
780	8883	2490
781	8892	2478
782	8904	2467
783	8915	2456
784	8924	2444
785	8934	2432
786	8946	2421
787	8955	2409
788	8966	2397
789	8979	2386
790	8990	2375
791	9002	2364
792	9017	2353
793	9027	2342
794	9036	2330
795	9047	2318
796	9055	2306
797	9065	2294
798	9076	2283
799	9084	2271
800	9096	2259
801	9108	2248
802	9119	2237
803	9128	2225
804	9140	2214
805	9149	2202
806	9161	2191
807	9171	2179
808	9181	2167
809	9192	2156
810	9201	2144
811	9214	2133
812	9226	2122
813	9235	2110
814	9244	2098
815	9254	2086
816	9262	2074
817	9275	2063
818	9283	2051
819	9295	2040
820	9306	2029
821	9314	2017
822	9324	2005
823	9332	1993
824	9344	1982
825	9358	1971
826	9371	1960
827	9379	1948
828	9390	1936
829	9405	1926
830	9418	1915
831	9429	1903
832	9439	1892
833	9451	1881
834	9460	1869
835	9473	1858
836	9486	1847
837	9495	1835
838	9506	1824
839	9517	1812
840	9526	1801
841	9540	1790
842	9555	1779
843	9566	1768
844	9576	1756
845	9587	1745
846	9598	1733
847	9610	1722
848	9623	1711
849	9637	1700
850	9651	1689
851	9665	1678
852	9676	1667
853	9688	1656
854	9699	1645
855	9708	1633
856	9718	1621
857	9727	1609
858	9739	1598
859	9751	1587
860	9765	1576
861	9776	1565
862	9785	1553
863	9799	1542
864	9811	1531
865	9821	1519
866	9834	1508
867	9845	1497
868	9855	1485
869	9870	1474
870	9884	1463
871	9898	1453
872	9910	1441
873	9919	1430
874	9933	1419
875	9948	1408
876	9962	1397
877	9971	1385
878	9983	1374
879	9997	1363
880	10011	1352
881	10021	1340
882	10033	1329
883	10046	1318
884	10056	1306
885	10069	1295
886	10081	1284
887	10092	1272
888	10101	1261
889	10111	1249
890	10119	1238
891	10131	1226
892	10143	1215
893	10151	1203
894	10163	1192
895	10172	1180
896	10181	1169
897	10193	1157
898	10208	1146
899	10216	1135
900	10227	1123
901	10237	1112
902	10245	1100
903	10255	1089
904	10263	1077
905	10275	1066
906	10288	1054
907	10296	1043
908	10308	1031
909	10316	1020
910	10326	1008
911	10335	997
912	10343	985
913	10357	974
914	10365	962
915	10377	951
916	10388	940
917	10397	928
918	10407	917
919	10418	905
920	10426	894
921	10438	883
922	10446	871
923	10456	860
924	10468	848
925	10476	837
926	10488	825
927	10499	814
928	10507	803
929	10518	791
930	10526	780
931	10537	768
932	10546	757
933	10556	745
934	10568	734
935	10578	723
936	10587	711
937	10597	700
938	10605	688
939	10618	677
940	10626	666
941	10652	655
942	10665	644
943	10675	633
944	10688	622
945	10700	610
946	10712	599
947	10724	588
948	10736	576
949	10747	565
950	10756	554
951	10767	542
952	10778	531
953	10788	520
954	10798	508
955	10805	497
956	10816	486
957	10824	474
958	10834	463
959	10846	451
960	10859	440
961	10867	429
962	10880	418
963	10888	406
964	10900	395
965	10912	384
966	10924	372
967	10935	361
968	10948	350
969	10960	338
970	10971	327
971	10980	316
972	10992	305
973	11000	293
974	11012	282
975	11027	271
976	11039	259
977	11048	248
978	11058	237
979	11067	225
980	11077	214
981	11087	203
982	11096	191
983	11108	180
984	11117	169
985	11128	158
986	11140	146
987	11150	135
988	11163	124
989	11178	112
990	11191	101
991	11200	90
992	11211	79
993	11222	67
994	11232	56
995	11244	45
996	11256	33
997	11265	22
998	11276	11
999	11288	0
